country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"CYM",55,"XCB","Rest of Caribbean","Cayman Islands",53,"XCB","Rest of Caribbean","Cayman Islands","CYM","Cayman Islands, The"
"CYP",60,"CYP","Cyprus","Cyprus",58,"CYP","Cyprus","Cyprus","CYP","Cyprus, The Republic of"
"CZE",61,"CZE","Czech Republic","Czech Republic",59,"CZE","Czech Republic","Czech Republic","CZE","Czech Republic, The"
"DEU",66,"DEU","Germany","Germany",64,"DEU","Germany","Germany","DEU","Germany, The Federal Republic of"
"DJI",154,"XEC","Rest of Eastern Africa","Djibouti",136,"XEC","Rest of Eastern Africa","Djibouti","DJI","Djibouti, The Republic of"
"DMA",55,"XCB","Rest of Caribbean","Dominica",53,"XCB","Rest of Caribbean","Dominica","DMA","Dominica, The Commonwealth of"
"DNK",62,"DNK","Denmark","Denmark",60,"DNK","Denmark","Denmark","DNK","Denmark, The Kingdom of"
"DOM",50,"DOM","Dominican Republic","Dominican Republic",49,"DOM","Dominican Republic","Dominican Republic","DOM","Dominican Republic, The"
"DZA",117,"DZA","Algeria","Algeria",112,"XNF","Rest of North Africa","Algeria","DZA","Algeria, The People's Democratic Republic of"
"ECU",37,"ECU","Ecuador","Ecuador",36,"ECU","Ecuador","Ecuador","ECU","Ecuador, The Republic of"
"EGY",118,"EGY","Egypt","Egypt",109,"EGY","Egypt","Egypt","EGY","Egypt, The Arab Republic of"
"ERI",154,"XEC","Rest of Eastern Africa","Eritrea",136,"XEC","Rest of Eastern Africa","Eritrea","ERI","Eritrea, The State of"
"ESH",121,"XNF","Rest of North Africa","Western Sahara",112,"XNF","Rest of North Africa","Western Sahara","ESH","Western Sahara"
"ESP",81,"ESP","Spain","Spain",79,"ESP","Spain","Spain","ESP","Spain, The Kingdom of"
"EST",63,"EST","Estonia","Estonia",61,"EST","Estonia","Estonia","EST","Estonia, The Republic of"
